"No.","Time","Source","Destination","Protocol","Length","Info"
"344","1.147086","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=2099 Ack=231703 Win=65728 Len=0 TSval=1458449512 TSecr=4060633682"
"345","1.165543","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2099 Ack=234567 Win=65728 Len=0 TSval=1458449527 TSecr=4060633682"
"346","1.165570","172.16.3.2","172.16.1.2","SSHv2","118","Server: "
"347","1.165610","172.16.1.2","172.16.3.2","TCP","66","18641  >  22 [ACK] Seq=248719 Ack=2135 Win=65728 Len=0 TSval=4060633773 TSecr=1458449527"
"348","1.165998","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=238863 Win=65728 Len=0 TSval=1458449532 TSecr=4060633695"
"349","1.166353","172.16.1.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 347#1] 18641  >  22 [ACK] Seq=248719 Ack=2135 Win=65728 Len=0 TSval=4060633773 TSecr=1458449532"
"350","1.186553","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=241727 Win=65728 Len=0 TSval=1458449545 TSecr=4060633695"
"351","1.186590","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=2135 Ack=242991 Win=65728 Len=0 TSval=1458449545 TSecr=4060633695"
"352","1.186922","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=245855 Win=65728 Len=0 TSval=1458449552 TSecr=4060633714"
"353","1.206308","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=248719 Win=65728 Len=0 TSval=1458449563 TSecr=4060633734"
"354","1.206321","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 353#1] 22  >  18641 [ACK] Seq=2135 Ack=248719 Win=65728 Len=0 TSval=1458449563 TSecr=4060633773"
"355","1.212964","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 353#2] 22  >  18641 [ACK] Seq=2135 Ack=248719 Win=65728 Len=0 TSval=1458449583 TSecr=4060633773"
"356","1.222751","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"357","1.222774","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"358","1.223201","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"359","1.223221","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"360","1.223259","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"361","1.223281","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"362","1.223337","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"363","1.226479","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 353#3] 22  >  18641 [ACK] Seq=2135 Ack=248719 Win=65728 Len=0 TSval=1458449593 TSecr=4060633773"
"364","1.226847","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=251583 Win=65728 Len=0 TSval=1458449593 TSecr=4060633822"
