"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.1.2","172.16.3.2","MPTCP","86","42610  >  22 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=361667362 TSecr=0"
"2","0.018491","172.16.3.2","172.16.1.2","MPTCP","86","22  >  42610 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=2117458638 TSecr=361667362"
"3","0.018587","172.16.1.2","172.16.3.2","MPTCP","86","42610  >  22 [ACK] Seq=1 Ack=1 Win=65728 Len=0 TSval=361667385 TSecr=2117458638"
"4","0.019460","172.16.1.2","172.16.3.2","SSHv2","128","Client: Protocol (SSH-2.0-OpenSSH_8.8 FreeBSD-20211221)"
"5","0.068409","172.16.3.2","172.16.1.2","TCP","66","22  >  42610 [ACK] Seq=1 Ack=39 Win=65728 Len=0 TSval=2117458693 TSecr=361667385"
"6","0.071582","172.16.3.2","172.16.1.2","SSHv2","124","Server: Protocol (SSH-2.0-OpenSSH_8.8 FreeBSD-20211221)"
"7","0.071935","172.16.1.2","172.16.3.2","MPTCP","74","42610  >  22 [ACK] Seq=39 Ack=39 Win=65728 Len=0 TSval=361667435 TSecr=2117458693"
"8","0.072646","172.16.1.2","172.16.3.2","MPTCP","1514","42610  >  22 [ACK] Seq=39 Ack=39 Win=65728 Len=1432 TSval=361667435 TSecr=2117458693 [TCP segment of a reassembled PDU]"
"9","0.072681","172.16.1.2","172.16.3.2","SSHv2","162","Client: Key Exchange Init"
"10","0.088044","172.16.3.2","172.16.1.2","SSHv2","1138","Server: Key Exchange Init"
"11","0.088067","172.16.3.2","172.16.1.2","TCP","66","22  >  42610 [ACK] Seq=1095 Ack=1551 Win=65728 Len=0 TSval=2117458701 TSecr=361667435"
"12","0.089403","172.16.1.2","172.16.3.2","MPTCP","74","42610  >  22 [ACK] Seq=1551 Ack=1095 Win=65728 Len=0 TSval=361667453 TSecr=2117458701"
"13","0.108996","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 11#1] 22  >  42610 [ACK] Seq=1095 Ack=1551 Win=65728 Len=0 TSval=2117458726 TSecr=361667435"
"14","0.109028","172.16.3.2","172.16.1.2","SSHv2","566","Server: Elliptic Curve Diffie-Hellman Key Exchange Reply, New Keys"
"15","0.110842","172.16.1.2","172.16.3.2","MPTCP","74","42610  >  22 [ACK] Seq=1551 Ack=1579 Win=65728 Len=0 TSval=361667473 TSecr=2117458730"
"16","0.114302","172.16.1.2","172.16.3.2","SSHv2","98","Client: New Keys"
"17","0.129377","172.16.3.2","172.16.1.2","MPTCP","74","22  >  42610 [ACK] Seq=1579 Ack=1567 Win=65728 Len=0 TSval=2117458748 TSecr=361667473"
"18","0.129415","172.16.1.2","172.16.3.2","SSHv2","126","Client: "
"19","0.149601","172.16.3.2","172.16.1.2","SSHv2","126","Server: "
"20","0.149641","172.16.1.2","172.16.3.2","TCP","66","42610  >  22 [ACK] Seq=1611 Ack=1623 Win=65728 Len=0 TSval=361667512 TSecr=2117458765"
"21","0.150987","172.16.1.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 20#1] 42610  >  22 [ACK] Seq=1611 Ack=1623 Win=65728 Len=0 TSval=361667512 TSecr=2117458765"
"22","0.166804","172.16.1.2","172.16.3.2","SSHv2","582","Client: "
"23","0.178980","172.16.3.2","172.16.1.2","MPTCP","74","22  >  42610 [ACK] Seq=1623 Ack=2111 Win=65728 Len=0 TSval=2117458790 TSecr=361667531"
"24","0.218971","172.16.3.2","172.16.1.2","SSHv2","110","Server: "
"25","0.258302","172.16.1.2","172.16.3.2","TCP","66","42610  >  22 [ACK] Seq=2111 Ack=1651 Win=65728 Len=0 TSval=361667623 TSecr=2117458836"
"26","0.278999","172.16.3.2","172.16.1.2","SSHv2","222","Server: "
"27","0.279849","172.16.1.2","172.16.3.2","MPTCP","74","42610  >  22 [ACK] Seq=2111 Ack=1791 Win=65728 Len=0 TSval=361667646 TSecr=2117458898"
"28","0.298120","172.16.3.2","172.16.1.2","SSHv2","126","Server: "
"29","0.298909","172.16.1.2","172.16.3.2","MPTCP","74","42610  >  22 [ACK] Seq=2111 Ack=1835 Win=65728 Len=0 TSval=361667663 TSecr=2117458918"
"30","0.299497","172.16.1.2","172.16.3.2","SSHv2","174","Client: "
"31","0.315298","172.16.1.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 29#1] 42610  >  22 [ACK] Seq=2203 Ack=1835 Win=65728 Len=0 TSval=361667681 TSecr=2117458918"
"32","0.318575","172.16.3.2","172.16.1.2","MPTCP","74","22  >  42610 [ACK] Seq=1835 Ack=2203 Win=65728 Len=0 TSval=2117458939 TSecr=361667663"
"33","0.325833","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 32#1] 22  >  42610 [ACK] Seq=1835 Ack=2203 Win=65728 Len=0 TSval=2117458950 TSecr=361667681"
"34","0.326525","172.16.3.2","172.16.1.2","SSHv2","158","Server: "
"35","0.335972","172.16.1.2","172.16.3.2","MPTCP","74","42610  >  22 [ACK] Seq=2203 Ack=1911 Win=65728 Len=0 TSval=361667702 TSecr=2117458950"
"36","0.368482","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 32#2] 22  >  42610 [ACK] Seq=1911 Ack=2203 Win=65728 Len=0 TSval=2117458996 TSecr=361667702"
"37","0.378664","172.16.1.2","172.16.3.2","SSHv2","158","Client: "
"38","0.399472","172.16.3.2","172.16.1.2","SSHv2","142","Server: "
"39","0.399502","172.16.1.2","172.16.3.2","TCP","66","42610  >  22 [ACK] Seq=2279 Ack=1971 Win=65728 Len=0 TSval=361667762 TSecr=2117459014"
"40","0.400111","172.16.1.2","172.16.3.2","MPTCP","74","[TCP Dup ACK 39#1] 42610  >  22 [ACK] Seq=2279 Ack=1971 Win=65728 Len=0 TSval=361667762 TSecr=2117459014"
"41","0.401688","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"42","0.401728","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"43","0.401741","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"44","0.401873","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"45","0.401886","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"46","0.401948","172.16.1.2","172.16.3.2","SSHv2","1150","Client: "
"47","0.403414","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"48","0.403429","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"49","0.403440","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"50","0.403452","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"51","0.403529","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"52","0.403628","172.16.1.2","172.16.3.2","SSHv2","1150","Client: "
"53","0.418436","172.16.3.2","172.16.1.2","TCP","66","22  >  42610 [ACK] Seq=1971 Ack=5143 Win=65728 Len=0 TSval=2117459036 TSecr=361667762"
"54","0.418463","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 53#1] 22  >  42610 [ACK] Seq=1971 Ack=5143 Win=65728 Len=0 TSval=2117459036 TSecr=361667762"
"55","0.418500","172.16.3.2","172.16.1.2","TCP","66","22  >  42610 [ACK] Seq=1971 Ack=8007 Win=65728 Len=0 TSval=2117459036 TSecr=361667762"
"56","0.418993","172.16.3.2","172.16.1.2","TCP","66","22  >  42610 [ACK] Seq=1971 Ack=10507 Win=65728 Len=0 TSval=2117459046 TSecr=361667762"
"57","0.419003","172.16.3.2","172.16.1.2","TCP","66","22  >  42610 [ACK] Seq=1971 Ack=13371 Win=65728 Len=0 TSval=2117459046 TSecr=361667762"
"58","0.419008","172.16.3.2","172.16.1.2","TCP","66","22  >  42610 [ACK] Seq=1971 Ack=16235 Win=65728 Len=0 TSval=2117459046 TSecr=361667762"
"59","0.419288","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 58#1] 22  >  42610 [ACK] Seq=1971 Ack=16235 Win=65728 Len=0 TSval=2117459046 TSecr=361667762"
"60","0.438396","172.16.3.2","172.16.1.2","TCP","66","22  >  42610 [ACK] Seq=1971 Ack=18735 Win=65728 Len=0 TSval=2117459055 TSecr=361667762"
"61","0.438420","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 60#1] 22  >  42610 [ACK] Seq=1971 Ack=18735 Win=65728 Len=0 TSval=2117459055 TSecr=361667762"
"62","0.438652","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"63","0.438689","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"64","0.438785","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"65","0.438851","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"66","0.439025","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"67","0.439100","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"68","0.439258","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"69","0.439285","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"70","0.439470","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"71","0.439498","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"72","0.439522","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"73","0.439545","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"74","0.439571","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
